version,comment,id,zh,hk,jp,th,spa,kor,fra
,AI量化,AI14,您的托管资金零风险,您的托管资金零风险,您的托管资金零风险,您的托管资金零风险,您的托管资金零风险,您的托管资金零风险,您的托管资金零风险
,AI量化,AI15,您可以在任何时间取回您的资金,您可以在任何时间取回您的资金,您可以在任何时间取回您的资金,您可以在任何时间取回您的资金,您可以在任何时间取回您的资金,您可以在任何时间取回您的资金,您可以在任何时间取回您的资金
,AI量化,AI16,AI机器人365*24小时不间断工作,AI机器人365*24小时不间断工作,AI机器人365*24小时不间断工作,AI机器人365*24小时不间断工作,AI机器人365*24小时不间断工作,AI机器人365*24小时不间断工作,AI机器人365*24小时不间断工作
,模拟交易,AI17,模拟交易,模拟交易,模拟交易,模拟交易,模拟交易,模拟交易,模拟交易
,模拟交易,AI18,当前为模拟交易,当前为模拟交易,当前为模拟交易,当前为模拟交易,当前为模拟交易,当前为模拟交易,当前为模拟交易
,分享,share1,获得加密货币奖励,获得加密货币奖励,获得加密货币奖励,获得加密货币奖励,获得加密货币奖励,获得加密货币奖励,获得加密货币奖励
,分享,share2,邀请您的好友参与AI量化、租用矿机、产品交易，即可获得加密货币奖励,邀请您的好友参与AI量化、租用矿机、产品交易，即可获得加密货币奖励,邀请您的好友参与AI量化、租用矿机、产品交易，即可获得加密货币奖励,邀请您的好友参与AI量化、租用矿机、产品交易，即可获得加密货币奖励,邀请您的好友参与AI量化、租用矿机、产品交易，即可获得加密货币奖励,邀请您的好友参与AI量化、租用矿机、产品交易，即可获得加密货币奖励,邀请您的好友参与AI量化、租用矿机、产品交易，即可获得加密货币奖励
,分享,share3,分享链接,分享链接,分享链接,分享链接,分享链接,分享链接,分享链接
,分享,share4,复制,复制,复制,复制,复制,复制,复制
,设置,setting1,立刻加入,立刻加入,立刻加入,立刻加入,立刻加入,立刻加入,立刻加入
,设置,setting2,首页,首页,首页,首页,首页,首页,首页
,设置,setting3,身份认证,身份认证,身份认证,身份认证,身份认证,身份认证,身份认证
,设置,setting4,客服,客服,客服,客服,客服,客服,客服
,提示,tip1,请输入划转数量,请输入划转数量,请输入划转数量,请输入划转数量,请输入划转数量,请输入划转数量,请输入划转数量
,提示,tip2,划转数量不能大于可用余额,划转数量不能大于可用余额,划转数量不能大于可用余额,划转数量不能大于可用余额,划转数量不能大于可用余额,划转数量不能大于可用余额,划转数量不能大于可用余额
,提示,tip3,提示,提示,提示,提示,提示,提示,提示
,提示,tip4,确定划转吗？,确定划转吗？,确定划转吗？,确定划转吗？,确定划转吗？,确定划转吗？,确定划转吗？
,提示,tip5,划转成功,划转成功,划转成功,划转成功,划转成功,划转成功,划转成功
,提示,tip6,请输入托管数量,请输入托管数量,请输入托管数量,请输入托管数量,请输入托管数量,请输入托管数量,请输入托管数量
,提示,tip7,最低托管数量为,最低托管数量为,最低托管数量为,最低托管数量为,最低托管数量为,最低托管数量为,最低托管数量为
,提示,tip8,不能超过最大可用数量,不能超过最大可用数量,不能超过最大可用数量,不能超过最大可用数量,不能超过最大可用数量,不能超过最大可用数量,不能超过最大可用数量
,提示,tip9,授权失败,授权失败,授权失败,授权失败,授权失败,授权失败,授权失败
,提示,tip10,授权成功,授权成功,授权成功,授权成功,授权成功,授权成功,授权成功
